row_id,tier,source_key,source_citation,source_doi,source_table,source_case_id,origin_refs,origin_citations,paper_split,perveance_uperv,rw_mm,C,theta_cone_deg,theta_ann_panahi_deg,theta_iterative_deg,theta_noniterative_deg,theta_modified_noniter_deg,beam_type,rc_mm,Rc_mm,derived_fields,orig_units,notes
LIT-0001,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,1,"[14,18,19]","Frost R., Purl O., Johnson H., 'Electron guns for forming solid beams of high perveance and high convergence', Proc. IRE 50(8) (1962) 1800-1807 | Tiwary U., Basu B., 'Noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 34(5) (1987) 1218-1222 | Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,3.00,0.62,207.60,70.00,69.99,69.21,45.03,66.60,pencil,8.9332,9.5065,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0002,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,2,"[14,18,19]","Frost R., Purl O., Johnson H., 'Electron guns for forming solid beams of high perveance and high convergence', Proc. IRE 50(8) (1962) 1800-1807 | Tiwary U., Basu B., 'Noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 34(5) (1987) 1218-1222 | Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,2.20,0.51,306.30,57.30,57.30,57.26,39.16,57.43,pencil,8.9257,10.6068,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0003,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,3,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",test,2.50,2.49,16.13,50.28,45.03,41.40,30.75,44.68,pencil,10.0004,13.0014,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0004,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,4,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,3.67,4.33,5.33,43.98,43.98,39.04,29.37,42.63,pencil,9.9966,14.3958,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0005,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,5,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,2.29,2.35,18.11,43.98,43.79,40.27,29.99,43.55,pencil,10.0006,14.4017,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0006,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,6,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",test,2.27,2.72,13.52,42.16,42.45,37.85,28.36,41.12,pencil,10.0013,14.9006,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0007,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,7,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,2.93,4.26,5.51,41.81,39.46,34.86,26.45,38.30,pencil,9.9997,14.9996,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0008,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,8,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,2.33,3.23,9.59,39.87,39.76,35.63,26.91,38.98,pencil,10.0026,15.6035,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0009,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,9,"[14,18,19]","Frost R., Purl O., Johnson H., 'Electron guns for forming solid beams of high perveance and high convergence', Proc. IRE 50(8) (1962) 1800-1807 | Tiwary U., Basu B., 'Noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 34(5) (1987) 1218-1222 | Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,1.90,1.35,35.55,38.90,39.43,40.46,30.35,44.09,pencil,8.0492,12.8180,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0010,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,10,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,3.27,4.42,5.12,38.12,40.40,36.31,27.34,39.62,pencil,10.0013,16.2014,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0011,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,11,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,1.32,1.41,50.30,37.04,36.10,34.60,26.41,38.24,pencil,10.0001,16.6011,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0012,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,12,"[14,18,19]","Frost R., Purl O., Johnson H., 'Electron guns for forming solid beams of high perveance and high convergence', Proc. IRE 50(8) (1962) 1800-1807 | Tiwary U., Basu B., 'Noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 34(5) (1987) 1218-1222 | Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",test,1.20,0.76,111.00,35.70,36.09,35.99,27.13,39.30,pencil,8.0071,13.7216,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0013,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,13,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,1.52,2.81,12.66,35.08,33.52,30.14,22.85,33.00,pencil,9.9982,17.3967,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0014,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,14,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,1.34,1.95,26.30,33.96,35.03,31.92,24.27,35.08,pencil,10.0003,17.9020,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0015,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,15,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",test,1.01,2.00,25.00,30.00,29.74,27.25,20.86,30.09,pencil,10.0000,20.0000,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0016,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,16,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,1.32,2.93,11.65,30.00,31.30,27.49,20.95,30.22,pencil,10.0007,20.0014,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0017,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,17,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",test,0.74,1.23,66.10,29.04,27.83,26.21,20.32,29.29,pencil,10.0001,20.6010,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
LIT-0018,A_literature,panahi2025,"Panahi R., Feghhi S.A.H., Sanaye Hajari Sh., Khorsandi M., 'Determination of the Half-Beam cone angle for Pierce electron gun design using an artificial neural network', Results in Physics 73 (2025) 108256",10.1016/j.rinp.2025.108256,Table 2,18,[19],"Yang C., Jia B., Zhu Z., 'Improved noniterative method for the synthesis of convergent Pierce electron guns', IEEE Trans. Electron Devices 53(11) (2006) 2849-2852",train,1.29,4.05,6.10,26.01,26.01,23.28,17.97,25.88,pencil,10.0028,22.8099,rc_mm;Rc_mm,P in microperv; rw in mm; C dimensionless; angles in degrees,"iterative column has true modification applied, sin(theta)/sin(theta_T)=0.905"
