row_id,tier,source_key,source_citation,source_doi,source_table,source_case_id,origin_refs,origin_citations,paper_split,split,perveance_uperv,rw_mm,C,theta_cone_deg,theta_source,theta_ann_panahi_deg,theta_iterative_deg,theta_noniterative_deg,theta_modified_noniter_deg,beam_type,rc_mm,Rc_mm,derived_fields,generator_mre_pct,generator_envelope,orig_units,notes
SYN-00001,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,3.0000,0.6200,207.6000,70.1580,physics_generator,,70.1580,,,pencil,8.9332,9.4970,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 1"
SYN-00002,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.2000,0.5100,306.3000,59.5783,physics_generator,,59.5783,,,pencil,8.9257,10.3508,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 2"
SYN-00003,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.2900,2.3500,18.1100,38.9152,physics_generator,,38.9152,,,pencil,10.0006,15.9203,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 5"
SYN-00004,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,2.3300,3.2300,9.5900,32.9421,physics_generator,,32.9421,,,pencil,10.0026,18.3941,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 8"
SYN-00005,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.9000,1.3500,35.5500,40.2756,physics_generator,,40.2756,,,pencil,8.0492,12.4511,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 9"
SYN-00006,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.3200,1.4100,50.3000,34.9893,physics_generator,,34.9893,,,pencil,10.0001,17.4392,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 11"
SYN-00007,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.5200,2.8100,12.6600,28.6900,physics_generator,,28.6900,,,pencil,9.9982,20.8266,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 13"
SYN-00008,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.3400,1.9500,26.3000,31.6345,physics_generator,,31.6345,,,pencil,10.0003,19.0664,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 14"
SYN-00009,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,1.3200,2.9300,11.6500,26.0703,physics_generator,,26.0703,,,pencil,10.0007,22.7561,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 16"
SYN-00010,B_synthetic,project_physics_generator,"Generated by this project's implementation of the classical Pierce synthesis physics. Validated against Panahi et al. 2025 Table 2 over the C >= 8 envelope: MAE 0.85 deg, MRE 2.80% across 23 published cases. NOT experimental data.",,generated,,,,,train,0.7900,2.0300,24.2700,23.6830,physics_generator,,23.6830,,,pencil,10.0007,24.8975,theta_cone_deg;theta_iterative_deg;rc_mm;Rc_mm,2.80,C >= 8,P in microperv; rw in mm; C dimensionless; angles in degrees,"SYNTHETIC - physics model output, not a measurement. Aperture-lens coefficient c=0.62. anchor at the inputs of real case 20"
